^SPX (Standard & Poors 500 Index),2881.4,0.0001
May 13 2019 @ 04:47 ET,Bid,2856.41,Ask,2901.86,Size,1x1,Vol,
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int,Strike,Puts,Last Sale,Net,Bid,Ask,Vol,IV,Delta,Gamma,Open Int
05/10/2019,SPXW190510C00800000,0,0,2070,2094,0,0.02,0.9999,0,0,800.000,SPXW190510P00800000,0.05,0.025,0,0.05,25,0.02,-0.0001,0,25
05/10/2019,SPXW190510C00900000,0,0,1970,1994,0,0.02,0.9994,0,0,900.000,SPXW190510P00900000,0,0,0,0.05,0,35.4568,-0.0001,0,0
05/10/2019,SPXW190510C01000000,0,0,1870,1893.9,0,0.02,0.9998,0,0,1000.000,SPXW190510P01000000,0,0,0,0.05,0,32.2254,-0.0001,0,0
05/10/2019,SPXW190510C01050000,0,0,1820,1844,0,0.02,0.9986,0,0,1050.000,SPXW190510P01050000,0,0,0,0.05,0,30.6791,-0.0001,0,0
05/10/2019,SPXW190510C01100000,0,0,1770,1794,0,0.02,0.9999,0,0,1100.000,SPXW190510P01100000,0,0,0,0.05,0,29.501,-0.0001,0,0
05/10/2019,SPXW190510C01150000,0,0,1720,1744,0,0.02,0.9994,0,0,1150.000,SPXW190510P01150000,0,0,0,0.05,0,28.001,-0.0001,0,5
05/10/2019,SPXW190510C01200000,0,0,1670,1694,0,0.02,0.9993,0,0,1200.000,SPXW190510P01200000,0,0,0,0.05,0,26.9344,-0.0001,0,0
05/10/2019,SPXW190510C01250000,0,0,1620,1644,0,0.02,0.9993,0,0,1250.000,SPXW190510P01250000,0,0,0,0.05,0,25.713,-0.0001,0,0
05/10/2019,SPXW190510C01300000,0,0,1570,1594,0,0,0.9983,0,0,1300.000,SPXW190510P01300000,0,0,0,0.05,0,24.559,-0.0001,0,1200
05/10/2019,SPXW190510C01350000,0,0,1520,1543.9,0,0,0.9977,0,0,1350.000,SPXW190510P01350000,0,0,0,0.05,0,23.4754,-0.0002,0,0
05/10/2019,SPXW190510C01400000,0,0,1470,1494,0,0,0.9955,0,0,1400.000,SPXW190510P01400000,0,0,0,0.05,0,22.2217,-0.0002,0,350
05/10/2019,SPXW190510C01450000,0,0,1420,1443.9,0,0,0.9984,0,0,1450.000,SPXW190510P01450000,0,0,0,0.05,0,21.3528,-0.0002,0,7
05/10/2019,SPXW190510C01500000,0,0,1370,1394,0,0,0.9991,0,0,1500.000,SPXW190510P01500000,0,0,0,0.05,0,20.1825,-0.0002,0,26
05/10/2019,SPXW190510C01550000,0,0,1320,1344,0,0,0.9992,0,0,1550.000,SPXW190510P01550000,0,0,0,0.05,0,19.385,-0.0002,0,4
05/10/2019,SPXW190510C01600000,0,0,1270,1293.9,0,0,0.9996,0,0,1600.000,SPXW190510P01600000,0,0,0,0.05,0,18.4006,-0.0002,0,15
05/10/2019,SPXW190510C01650000,0,0,1220,1244,0,0,0.9996,0,0,1650.000,SPXW190510P01650000,0,0,0,0.05,0,17.501,-0.0002,0,32828
05/10/2019,SPXW190510C01700000,0,0,1170,1193.9,0,0,0.9996,0,0,1700.000,SPXW190510P01700000,0,0,0,0.05,0,16.6152,-0.0002,0,417
05/10/2019,SPXW190510C01750000,0,0,1120,1144,0,0,0.9996,0,0,1750.000,SPXW190510P01750000,0,0,0,0.05,0,15.7284,-0.0002,0,25811
05/10/2019,SPXW190510C01800000,0,0,1070,1093.9,0,0,0.9995,0,0,1800.000,SPXW190510P01800000,0,0,0,0.05,0,14.9556,-0.0003,0,1439
05/10/2019,SPXW190510C01850000,0,0,1020,1044,0,0,0.9913,0,0,1850.000,SPXW190510P01850000,0,0,0,0.05,0,14.001,-0.0002,0,1009
05/10/2019,SPXW190510C01900000,0,0,970,993.9,0,0,0.9995,0,0,1900.000,SPXW190510P01900000,0,0,0,0.05,0,13.2253,-0.0003,0,1125
05/10/2019,SPXW190510C01950000,0,0,920,944,0,0,0.9994,0,0,1950.000,SPXW190510P01950000,0,0,0,0.05,0,12.5164,-0.0003,0,989
